1	1763057
2	1523827
3	2392132
4	2819354
5	2775199
6	2405932
7	1867600
8	1343248
9	905535
10	574348
11	340779
12	198736
13	112200
14	60800
15	35803
16	22752
17	16133
18	11880
19	9652
20	9180
21	9051
22	8800
23	9108
24	9936
25	10325
26	11076
27	11124
28	11200
29	11513
30	11640
31	10508
32	9760
33	11748
34	9282
35	8785
36	7812
37	6549
38	5776
39	6006
40	4760
41	4305
42	4494
43	3569
44	3784
45	2745
46	2760
47	2256
48	1392
49	1372
50	900
51	816
52	780
53	424
54	810
55	385
56	336
57	228
58	290
59	413
60	360
61	122
62	62
63	126
64	128
66	66
67	134
68	136
71	71
78	78
772	772
