1	2276505
2	99879
3	228578
4	534230
5	983871
6	1544180
7	2117151
8	2628488
9	3026250
10	3332978
11	3539352
12	3658539
13	3747027
14	3706141
15	3586973
16	3396131
17	3115041
18	2822186
19	2489582
20	2151626
21	1820974
22	1538431
23	1259581
24	1019465
25	791320
26	645480
27	510834
28	396505
29	309486
30	233084
31	173653
32	120857
33	85599
34	60857
35	50989
36	40031
37	31152
38	22990
39	20779
40	17552
41	16195
42	14070
43	15092
44	15048
45	13950
46	15134
47	14429
48	15312
49	12789
50	14250
51	13566
52	13935
53	14097
54	14082
55	12759
56	12198
57	11058
58	10324
59	8791
60	8820
61	9211
62	6075
63	9513
64	7040
65	8320
66	7317
67	6898
68	6120
69	6003
70	6300
71	7952
72	8712
73	6715
74	8214
75	9150
76	9424
77	12089
78	13260
79	13351
80	12400
81	11663
82	12054
83	14110
84	14616
85	14110
86	15050
87	13311
88	15752
89	17088
90	16649
91	19200
92	13340
93	15531
94	13536
95	17289
96	13536
97	17460
98	16170
99	15048
100	15000
101	13534
102	18054
103	15965
104	16016
105	16275
106	12932
107	13482
108	13608
109	10791
110	10780
111	8769
112	6944
113	5876
114	4902
115	4140
116	3944
117	3861
118	4602
119	5712
120	7200
121	5808
122	6832
123	6150
124	6944
125	6000
126	5544
127	5461
128	3200
129	3999
130	3510
131	2620
132	3828
133	3458
134	2144
135	1890
136	1768
137	2055
138	2760
139	1807
140	2660
141	1833
142	2414
143	2288
144	2304
145	2320
146	2190
147	3234
148	1332
149	1937
150	1200
151	1812
152	1520
153	1377
154	616
155	1085
156	1404
157	785
158	474
159	795
160	320
161	644
162	486
163	326
168	168
169	507
171	171
174	348
175	175
176	176
178	356
180	180
183	183
188	188
200	200
217	217
221	221
260	260
295	295
315	315
1091	1091
3036	3036
